"level","position","tech_stack","experience","gender","company","company_size","work_type","city","currency","salary_for_other_currency","salary_for_tl_currency"
"Middle","Back-end Developer","Php","3 - 5 Yıl","Erkek","Startup","25 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Junior","Front-end Developer","React","0 - 1 Yıl","Erkek","Startup","10 - 25 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"8.000 TL - 8.999 TL"
"Middle","Back-end Developer",".Net","1 - 3 Yıl","Erkek","Outsource","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Junior","Full Stack Developer","Java, JavaScript | Html | Css, React, React Native","1 - 3 Yıl","Erkek","Startup","10 - 25 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Junior","Back-end Developer",".Net, JavaScript | Html | Css","0 - 1 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","Kocaeli","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Middle","Mobile Application Developer","Python, Kotlin, React Native","3 - 5 Yıl","Erkek","Startup","10 - 25 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Junior","Back-end Developer",".Net","1 - 3 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"8.000 TL - 8.999 TL"
"Middle","Back-end Developer",".Net, JavaScript | Html | Css, Angular, React Native","3 - 5 Yıl","Erkek","Startup","100 - 250 Kişi","Remote","Yurt Dışı","$ - Dolar","10.000 ve üzeri",
"Middle","Full Stack Developer","Php, JavaScript | Html | Css","3 - 5 Yıl","Erkek","Outsource","10 - 25 Kişi","Remote","Ankara","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Senior","Back-end Developer","Php, Go, JavaScript | Html | Css, Vue","5 - 7 Yıl","Erkek","Kurumsal","1 - 10 Kişi","Remote","Yurt Dışı","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Senior","Mobile Application Developer","Swift / Objective C","3 - 5 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"24.000 TL - 24.999 TL"
"Junior","Full Stack Developer","JavaScript | Html | Css, React, Vue, Express.js","0 - 1 Yıl","Erkek","Startup","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Senior","Front-end Developer","JavaScript | Html | Css, Vue","5 - 7 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"21.000 TL - 21.999 TL"
"Junior","Mobile Application Developer","Swift / Objective C, Flutter","1 - 3 Yıl","Erkek","Startup","1 - 10 Kişi","Remote","Yurt Dışı","$ - Dolar","2.000 - 2.999",
"Senior","Full Stack Developer","Java","5 - 7 Yıl","Erkek","Kurumsal","250+","Remote","Kocaeli","₺ - Türk Lirası",,"21.000 TL - 21.999 TL"
"Junior","Back-end Developer","Go","1 - 3 Yıl","Erkek","Startup","250+","Remote","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Senior","Full Stack Developer","Php, Swift / Objective C","10 - 14 Yıl","Erkek","E-Ticaret","1 - 10 Kişi","Remote","İstanbul","$ - Dolar","2.000 - 2.999",
"Middle","Back-end Developer",".Net, Php, Vue","3 - 5 Yıl","Erkek","Dijital / Reklam Ajansı","1 - 10 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"11.000 TL - 11.999 TL"
"Senior","Embedded Software Developer","C / C++","3 - 5 Yıl","Erkek","Diğer","10 - 25 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Junior","Back-end Developer","Java","0 - 1 Yıl","Erkek","E-Ticaret","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Senior","Back-end Developer",".Net","7 - 10 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"22.000 TL - 22.999 TL"
"Senior","Team / Tech Lead","Python","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Sydney","$ - Dolar","10.000 ve üzeri",
"Senior","Full Stack Developer","Php, Angular","7 - 10 Yıl","Erkek","Oyun","100 - 250 Kişi","Remote","İstanbul","€ - Euro","2.000 - 2.999",
"Middle","Front-end Developer","JavaScript | Html | Css","7 - 10 Yıl","Erkek","Startup","100 - 250 Kişi","Hibrit (Ofis + Remote)","Kocaeli ","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Senior","Team / Tech Lead","Node JS","10 - 14 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Middle","Full Stack Developer",".Net, Vue, Angular, Flutter","3 - 5 Yıl","Erkek","Startup","25 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"11.000 TL - 11.999 TL"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css, React, Angular","7 - 10 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"21.000 TL - 21.999 TL"
"Middle","Back-end Developer",".Net, Angular","3 - 5 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
